DOI	SemanticScholar Citation Count	Note
10.18653/v1/2020.emnlp-main.139	0	
10.18653/v1/2020.emnlp-main.140	3	
10.18653/v1/2020.emnlp-main.141	3	
10.18653/v1/2020.emnlp-main.142	4	
10.18653/v1/2020.emnlp-main.143	8	
10.18653/v1/2020.emnlp-main.144	2	
10.18653/v1/2020.emnlp-main.145	5	
10.18653/v1/2020.emnlp-main.146	10	
10.18653/v1/2020.emnlp-main.147	9	
10.18653/v1/2020.emnlp-main.148	7	
10.18653/v1/2020.emnlp-main.149	3	
10.18653/v1/2020.emnlp-main.150	8	
10.18653/v1/2020.emnlp-main.151	3	
10.18653/v1/2020.emnlp-main.152	14	
10.18653/v1/2020.emnlp-main.153	22	
10.18653/v1/2020.emnlp-main.154	40	
10.18653/v1/2020.emnlp-main.155	3	
10.18653/v1/2020.emnlp-main.156	10	
10.18653/v1/2020.emnlp-main.157	2	
10.18653/v1/2020.emnlp-main.158	4	
10.18653/v1/2020.emnlp-main.159	1	
10.18653/v1/2020.emnlp-main.160	0	
10.18653/v1/2020.emnlp-main.161	64	
10.18653/v1/2020.emnlp-main.162	24	
10.18653/v1/2020.emnlp-main.163	5	
10.18653/v1/2020.emnlp-main.164	1	
10.18653/v1/2020.emnlp-main.165	11	
10.18653/v1/2020.emnlp-main.166	8	
10.18653/v1/2020.emnlp-main.167	0	
10.18653/v1/2020.emnlp-main.168	4	
10.18653/v1/2020.emnlp-main.169	1	
10.18653/v1/2020.emnlp-main.170	25	
10.18653/v1/2020.emnlp-main.171	0	
10.18653/v1/2020.emnlp-main.172	2	
10.18653/v1/2020.emnlp-main.173	4	
10.18653/v1/2020.emnlp-main.174	15	
10.18653/v1/2020.emnlp-main.175	16	
10.18653/v1/2020.emnlp-main.176	6	
10.18653/v1/2020.emnlp-main.177	1	
10.18653/v1/2020.emnlp-main.178	12	
10.18653/v1/2020.emnlp-main.179	7	
10.18653/v1/2020.emnlp-main.180	33	
10.18653/v1/2020.emnlp-main.181	5	
10.18653/v1/2020.emnlp-main.182	7	
10.18653/v1/2020.emnlp-main.183	22	
