DOI	
10.18653/v1/2020.findings-emnlp.264	7
10.18653/v1/2020.findings-emnlp.267	7
10.18653/v1/2020.findings-emnlp.335	7
10.18653/v1/2020.findings-emnlp.342	7
10.18653/v1/2020.findings-emnlp.347	7
10.18653/v1/2020.findings-emnlp.354	7
10.18653/v1/2020.findings-emnlp.363	7
10.18653/v1/2020.findings-emnlp.407	7
10.18653/v1/2020.findings-emnlp.9	6
10.18653/v1/2020.findings-emnlp.16	6
10.18653/v1/2020.findings-emnlp.47	6
10.18653/v1/2020.findings-emnlp.54	6
10.18653/v1/2020.findings-emnlp.74	6
10.18653/v1/2020.findings-emnlp.81	6
10.18653/v1/2020.findings-emnlp.83	6
10.18653/v1/2020.findings-emnlp.84	6
10.18653/v1/2020.findings-emnlp.104	6
10.18653/v1/2020.findings-emnlp.133	6
10.18653/v1/2020.findings-emnlp.170	6
10.18653/v1/2020.findings-emnlp.174	6
10.18653/v1/2020.findings-emnlp.244	6
10.18653/v1/2020.findings-emnlp.300	6
10.18653/v1/2020.findings-emnlp.310	6
10.18653/v1/2020.findings-emnlp.337	6
10.18653/v1/2020.findings-emnlp.373	6
10.18653/v1/2020.findings-emnlp.397	6
10.18653/v1/2020.findings-emnlp.6	5
10.18653/v1/2020.findings-emnlp.8	5
10.18653/v1/2020.findings-emnlp.23	5
10.18653/v1/2020.findings-emnlp.32	5
10.18653/v1/2020.findings-emnlp.46	5
10.18653/v1/2020.findings-emnlp.70	5
10.18653/v1/2020.findings-emnlp.82	5
10.18653/v1/2020.findings-emnlp.108	5
10.18653/v1/2020.findings-emnlp.109	5
10.18653/v1/2020.findings-emnlp.127	5
10.18653/v1/2020.findings-emnlp.161	5
10.18653/v1/2020.findings-emnlp.184	5
10.18653/v1/2020.findings-emnlp.186	5
10.18653/v1/2020.findings-emnlp.199	5
10.18653/v1/2020.findings-emnlp.223	5
10.18653/v1/2020.findings-emnlp.239	5
10.18653/v1/2020.findings-emnlp.278	5
10.18653/v1/2020.findings-emnlp.280	5
10.18653/v1/2020.findings-emnlp.282	5
10.18653/v1/2020.findings-emnlp.316	5
10.18653/v1/2020.findings-emnlp.323	5
10.18653/v1/2020.findings-emnlp.333	5
10.18653/v1/2020.findings-emnlp.345	5
10.18653/v1/2020.findings-emnlp.348	5
10.18653/v1/2020.findings-emnlp.370	5
10.18653/v1/2020.findings-emnlp.381	5
10.18653/v1/2020.findings-emnlp.409	5
10.18653/v1/2020.findings-emnlp.432	5
10.18653/v1/2020.findings-emnlp.2	4
10.18653/v1/2020.findings-emnlp.18	4
10.18653/v1/2020.findings-emnlp.33	4
10.18653/v1/2020.findings-emnlp.51	4
10.18653/v1/2020.findings-emnlp.67	4
10.18653/v1/2020.findings-emnlp.110	4
10.18653/v1/2020.findings-emnlp.115	4
10.18653/v1/2020.findings-emnlp.122	4
10.18653/v1/2020.findings-emnlp.131	4
10.18653/v1/2020.findings-emnlp.138	4
10.18653/v1/2020.findings-emnlp.141	4
10.18653/v1/2020.findings-emnlp.152	4
10.18653/v1/2020.findings-emnlp.167	4
10.18653/v1/2020.findings-emnlp.176	4
10.18653/v1/2020.findings-emnlp.190	4
10.18653/v1/2020.findings-emnlp.194	4
10.18653/v1/2020.findings-emnlp.212	4
10.18653/v1/2020.findings-emnlp.222	4
10.18653/v1/2020.findings-emnlp.245	4
10.18653/v1/2020.findings-emnlp.249	4
10.18653/v1/2020.findings-emnlp.252	4
10.18653/v1/2020.findings-emnlp.268	4
10.18653/v1/2020.findings-emnlp.269	4
10.18653/v1/2020.findings-emnlp.289	4
10.18653/v1/2020.findings-emnlp.290	4
10.18653/v1/2020.findings-emnlp.329	4
10.18653/v1/2020.findings-emnlp.356	4
10.18653/v1/2020.findings-emnlp.365	4
10.18653/v1/2020.findings-emnlp.384	4
10.18653/v1/2020.findings-emnlp.391	4
10.18653/v1/2020.findings-emnlp.402	4
10.18653/v1/2020.findings-emnlp.412	4
10.18653/v1/2020.findings-emnlp.427	4
10.18653/v1/2020.findings-emnlp.441	4
10.18653/v1/2020.findings-emnlp.25	3
10.18653/v1/2020.findings-emnlp.48	3
10.18653/v1/2020.findings-emnlp.50	3
10.18653/v1/2020.findings-emnlp.97	3
10.18653/v1/2020.findings-emnlp.116	3
10.18653/v1/2020.findings-emnlp.121	3
10.18653/v1/2020.findings-emnlp.136	3
10.18653/v1/2020.findings-emnlp.140	3
10.18653/v1/2020.findings-emnlp.187	3
10.18653/v1/2020.findings-emnlp.192	3
10.18653/v1/2020.findings-emnlp.216	3
10.18653/v1/2020.findings-emnlp.218	3
10.18653/v1/2020.findings-emnlp.228	3
10.18653/v1/2020.findings-emnlp.238	3
10.18653/v1/2020.findings-emnlp.248	3
10.18653/v1/2020.findings-emnlp.305	3
10.18653/v1/2020.findings-emnlp.317	3
10.18653/v1/2020.findings-emnlp.318	3
10.18653/v1/2020.findings-emnlp.340	3
10.18653/v1/2020.findings-emnlp.344	3
10.18653/v1/2020.findings-emnlp.350	3
10.18653/v1/2020.findings-emnlp.358	3
10.18653/v1/2020.findings-emnlp.379	3
10.18653/v1/2020.findings-emnlp.380	3
10.18653/v1/2020.findings-emnlp.382	3
10.18653/v1/2020.findings-emnlp.395	3
10.18653/v1/2020.findings-emnlp.396	3
10.18653/v1/2020.findings-emnlp.416	3
10.18653/v1/2020.findings-emnlp.433	3
10.18653/v1/2020.findings-emnlp.435	3
10.18653/v1/2020.findings-emnlp.437	3
10.18653/v1/2020.findings-emnlp.446	3
10.18653/v1/2020.findings-emnlp.40	2
10.18653/v1/2020.findings-emnlp.52	2
10.18653/v1/2020.findings-emnlp.64	2
10.18653/v1/2020.findings-emnlp.75	2
10.18653/v1/2020.findings-emnlp.77	2
10.18653/v1/2020.findings-emnlp.78	2
10.18653/v1/2020.findings-emnlp.85	2
10.18653/v1/2020.findings-emnlp.86	2
10.18653/v1/2020.findings-emnlp.88	2
10.18653/v1/2020.findings-emnlp.93	2
10.18653/v1/2020.findings-emnlp.95	2
10.18653/v1/2020.findings-emnlp.98	2
10.18653/v1/2020.findings-emnlp.101	2
10.18653/v1/2020.findings-emnlp.105	2
10.18653/v1/2020.findings-emnlp.120	2
10.18653/v1/2020.findings-emnlp.124	2
10.18653/v1/2020.findings-emnlp.154	2
10.18653/v1/2020.findings-emnlp.158	2
10.18653/v1/2020.findings-emnlp.166	2
10.18653/v1/2020.findings-emnlp.172	2
10.18653/v1/2020.findings-emnlp.173	2
10.18653/v1/2020.findings-emnlp.179	2
10.18653/v1/2020.findings-emnlp.181	2
10.18653/v1/2020.findings-emnlp.193	2
10.18653/v1/2020.findings-emnlp.197	2
10.18653/v1/2020.findings-emnlp.202	2
10.18653/v1/2020.findings-emnlp.204	2
10.18653/v1/2020.findings-emnlp.210	2
10.18653/v1/2020.findings-emnlp.214	2
10.18653/v1/2020.findings-emnlp.229	2
10.18653/v1/2020.findings-emnlp.235	2
10.18653/v1/2020.findings-emnlp.236	2
10.18653/v1/2020.findings-emnlp.241	2
10.18653/v1/2020.findings-emnlp.242	2
10.18653/v1/2020.findings-emnlp.247	2
10.18653/v1/2020.findings-emnlp.250	2
10.18653/v1/2020.findings-emnlp.254	2
10.18653/v1/2020.findings-emnlp.256	2
10.18653/v1/2020.findings-emnlp.262	2
10.18653/v1/2020.findings-emnlp.266	2
10.18653/v1/2020.findings-emnlp.271	2
10.18653/v1/2020.findings-emnlp.274	2
10.18653/v1/2020.findings-emnlp.276	2
10.18653/v1/2020.findings-emnlp.277	2
10.18653/v1/2020.findings-emnlp.281	2
10.18653/v1/2020.findings-emnlp.287	2
10.18653/v1/2020.findings-emnlp.293	2
10.18653/v1/2020.findings-emnlp.299	2
10.18653/v1/2020.findings-emnlp.304	2
10.18653/v1/2020.findings-emnlp.320	2
10.18653/v1/2020.findings-emnlp.321	2
10.18653/v1/2020.findings-emnlp.327	2
10.18653/v1/2020.findings-emnlp.339	2
10.18653/v1/2020.findings-emnlp.366	2
10.18653/v1/2020.findings-emnlp.383	2
10.18653/v1/2020.findings-emnlp.386	2
10.18653/v1/2020.findings-emnlp.393	2
10.18653/v1/2020.findings-emnlp.400	2
10.18653/v1/2020.findings-emnlp.410	2
10.18653/v1/2020.findings-emnlp.411	2
10.18653/v1/2020.findings-emnlp.419	2
10.18653/v1/2020.findings-emnlp.423	2
10.18653/v1/2020.findings-emnlp.429	2
10.18653/v1/2020.findings-emnlp.442	2
10.18653/v1/2020.findings-emnlp.447	2
10.18653/v1/2020.findings-emnlp.13	1
10.18653/v1/2020.findings-emnlp.20	1
10.18653/v1/2020.findings-emnlp.26	1
10.18653/v1/2020.findings-emnlp.28	1
10.18653/v1/2020.findings-emnlp.31	1
10.18653/v1/2020.findings-emnlp.36	1
10.18653/v1/2020.findings-emnlp.38	1
10.18653/v1/2020.findings-emnlp.56	1
10.18653/v1/2020.findings-emnlp.57	1
10.18653/v1/2020.findings-emnlp.87	1
10.18653/v1/2020.findings-emnlp.94	1
10.18653/v1/2020.findings-emnlp.96	1
10.18653/v1/2020.findings-emnlp.100	1
10.18653/v1/2020.findings-emnlp.113	1
10.18653/v1/2020.findings-emnlp.119	1
10.18653/v1/2020.findings-emnlp.126	1
10.18653/v1/2020.findings-emnlp.130	1
